Create extended ACL BLOCK_TELNET permitting SSH from 172.16.0.0 to host 192.168.1.1.,create extended acl block_telnet permitting ssh from 172.16.0.0 to host 192.168.1.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 172.16.0.0 0.0.255.255 host 192.168.1.1 eq 22
deny ip any any
end"
Create extended ACL BLOCK_TELNET permitting SSH from 192.168.10.0 to host 10.10.10.1.,create extended acl block_telnet permitting ssh from 192.168.10.0 to host 10.10.10.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 192.168.10.0 0.0.0.255 host 10.10.10.1 eq 22
deny ip any any
end"
Create extended ACL BLOCK_TELNET permitting SSH from 192.168.10.0 to host 192.168.100.1.,create extended acl block_telnet permitting ssh from 192.168.10.0 to host 192.168.100.1.,"enable
configure terminal
ip access-list extended BLOCK_TELNET
permit tcp 192.168.10.0 0.255.255.255 host 192.168.100.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 10.0.0.0 to host 10.0.0.1.,create extended acl internet_access permitting ssh from 10.0.0.0 to host 10.0.0.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 10.0.0.0 0.0.255.255 host 10.0.0.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 10.0.0.0 to host 172.31.0.1.,create extended acl internet_access permitting ssh from 10.0.0.0 to host 172.31.0.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 10.0.0.0 0.0.0.255 host 172.31.0.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 10.0.0.0 to host 192.168.100.1.,create extended acl internet_access permitting ssh from 10.0.0.0 to host 192.168.100.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 10.0.0.0 0.0.0.255 host 192.168.100.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 10.0.0.0 to host 192.168.1.1.,create extended acl internet_access permitting ssh from 10.0.0.0 to host 192.168.1.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 10.0.0.0 0.0.255.255 host 192.168.1.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 10.1.0.0 to host 172.31.0.1.,create extended acl internet_access permitting ssh from 10.1.0.0 to host 172.31.0.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 10.1.0.0 0.255.255.255 host 172.31.0.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 172.16.0.0 to host 10.0.1.1.,create extended acl internet_access permitting ssh from 172.16.0.0 to host 10.0.1.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 172.16.0.0 0.255.255.255 host 10.0.1.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 172.16.0.0 to host 10.1.1.1.,create extended acl internet_access permitting ssh from 172.16.0.0 to host 10.1.1.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 172.16.0.0 0.255.255.255 host 10.1.1.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 172.16.0.0 to host 192.168.100.1.,create extended acl internet_access permitting ssh from 172.16.0.0 to host 192.168.100.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 172.16.0.0 0.0.0.255 host 192.168.100.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 172.16.0.0 to host 192.168.1.1.,create extended acl internet_access permitting ssh from 172.16.0.0 to host 192.168.1.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 172.16.0.0 0.0.0.255 host 192.168.1.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 192.168.10.0 to host 10.0.0.1.,create extended acl internet_access permitting ssh from 192.168.10.0 to host 10.0.0.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 192.168.10.0 0.255.255.255 host 10.0.0.1 eq 22
deny ip any any
end"
Create extended ACL INTERNET_ACCESS permitting SSH from 192.168.10.0 to host 10.1.1.1.,create extended acl internet_access permitting ssh from 192.168.10.0 to host 10.1.1.1.,"enable
configure terminal
ip access-list extended INTERNET_ACCESS
permit tcp 192.168.10.0 0.255.255.255 host 10.1.1.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 10.0.0.0 to host 10.10.10.1.,create extended acl mgmt_access permitting ssh from 10.0.0.0 to host 10.10.10.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 10.0.0.0 0.0.0.255 host 10.10.10.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 10.1.0.0 to host 10.0.0.1.,create extended acl mgmt_access permitting ssh from 10.1.0.0 to host 10.0.0.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 10.1.0.0 0.0.255.255 host 10.0.0.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 10.1.0.0 to host 10.10.10.1.,create extended acl mgmt_access permitting ssh from 10.1.0.0 to host 10.10.10.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 10.1.0.0 0.0.0.255 host 10.10.10.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 10.1.0.0 to host 172.16.0.1.,create extended acl mgmt_access permitting ssh from 10.1.0.0 to host 172.16.0.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 10.1.0.0 0.0.255.255 host 172.16.0.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 10.1.0.0 to host 172.31.0.1.,create extended acl mgmt_access permitting ssh from 10.1.0.0 to host 172.31.0.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 10.1.0.0 0.0.255.255 host 172.31.0.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 172.16.0.0 to host 10.1.1.1.,create extended acl mgmt_access permitting ssh from 172.16.0.0 to host 10.1.1.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 172.16.0.0 0.255.255.255 host 10.1.1.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 172.16.0.0 to host 192.168.100.1.,create extended acl mgmt_access permitting ssh from 172.16.0.0 to host 192.168.100.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 172.16.0.0 0.255.255.255 host 192.168.100.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 172.16.0.0 to host 192.168.1.1.,create extended acl mgmt_access permitting ssh from 172.16.0.0 to host 192.168.1.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 172.16.0.0 0.255.255.255 host 192.168.1.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 192.168.10.0 to host 10.0.0.1.,create extended acl mgmt_access permitting ssh from 192.168.10.0 to host 10.0.0.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 192.168.10.0 0.0.255.255 host 10.0.0.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 192.168.10.0 to host 10.1.1.1.,create extended acl mgmt_access permitting ssh from 192.168.10.0 to host 10.1.1.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 192.168.10.0 0.0.0.255 host 10.1.1.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 192.168.10.0 to host 192.168.100.1.,create extended acl mgmt_access permitting ssh from 192.168.10.0 to host 192.168.100.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 192.168.10.0 0.0.0.255 host 192.168.100.1 eq 22
deny ip any any
end"
Create extended ACL MGMT_ACCESS permitting SSH from 192.168.10.0 to host 192.168.1.1.,create extended acl mgmt_access permitting ssh from 192.168.10.0 to host 192.168.1.1.,"enable
configure terminal
ip access-list extended MGMT_ACCESS
permit tcp 192.168.10.0 0.255.255.255 host 192.168.1.1 eq 22
deny ip any any
end"
Create extended ACL PERMIT_SSH permitting SSH from 10.0.0.0 to host 172.16.0.1.,create extended acl permit_ssh permitting ssh from 10.0.0.0 to host 172.16.0.1.,"enable
configure terminal
ip access-list extended PERMIT_SSH
permit tcp 10.0.0.0 0.0.255.255 host 172.16.0.1 eq 22
deny ip any any
end"
Create extended ACL PERMIT_SSH permitting SSH from 10.0.0.0 to host 192.168.1.1.,create extended acl permit_ssh permitting ssh from 10.0.0.0 to host 192.168.1.1.,"enable
configure terminal
ip access-list extended PERMIT_SSH
permit tcp 10.0.0.0 0.255.255.255 host 192.168.1.1 eq 22
deny ip any any
end"
Create extended ACL PERMIT_SSH permitting SSH from 10.1.0.0 to host 10.0.0.1.,create extended acl permit_ssh permitting ssh from 10.1.0.0 to host 10.0.0.1.,"enable
configure terminal
ip access-list extended PERMIT_SSH
permit tcp 10.1.0.0 0.0.255.255 host 10.0.0.1 eq 22
deny ip any any
end"
Create extended ACL PERMIT_SSH permitting SSH from 10.1.0.0 to host 172.31.0.1.,create extended acl permit_ssh permitting ssh from 10.1.0.0 to host 172.31.0.1.,"enable
configure terminal
ip access-list extended PERMIT_SSH
permit tcp 10.1.0.0 0.255.255.255 host 172.31.0.1 eq 22
deny ip any any
end"
Create extended ACL PERMIT_SSH permitting SSH from 10.1.0.0 to host 192.168.100.1.,create extended acl permit_ssh permitting ssh from 10.1.0.0 to host 192.168.100.1.,"enable
configure terminal
ip access-list extended PERMIT_SSH
permit tcp 10.1.0.0 0.255.255.255 host 192.168.100.1 eq 22
deny ip any any
end"
Create extended ACL PERMIT_SSH permitting SSH from 192.168.10.0 to host 10.0.1.1.,create extended acl permit_ssh permitting ssh from 192.168.10.0 to host 10.0.1.1.,"enable
configure terminal
ip access-list extended PERMIT_SSH
permit tcp 192.168.10.0 0.0.255.255 host 10.0.1.1 eq 22
deny ip any any
end"
Create extended ACL PERMIT_SSH permitting SSH from 192.168.10.0 to host 10.1.1.1.,create extended acl permit_ssh permitting ssh from 192.168.10.0 to host 10.1.1.1.,"enable
configure terminal
ip access-list extended PERMIT_SSH
permit tcp 192.168.10.0 0.255.255.255 host 10.1.1.1 eq 22
deny ip any any
end"
Define a DHCP pool for remote branch office 05 using subnet 172.30.5.0/24 and set the NetBIOS name server to 172.30.5.10.,define a dhcp pool for remote branch office 05 using subnet 172.30.5.0/24 and set the netbios name server to 172.30.5.10.,"enable
configure terminal
ip dhcp pool BRANCH_05
network 172.30.5.0 255.255.255.0
default-router 172.30.5.1
netbios-name-server 172.30.5.10
exit
end"
Enable LDP IGP synchronization on OSPF process 1.,enable ldp igp synchronization on ospf process 1.,"enable
configure terminal
router ospf 1
mpls ldp sync
end"
Enable OSPF 100 under VRF custA with router-id 172.16.0.1.,enable ospf 100 under vrf custa with router-id 172.16.0.1.,"enable
configure terminal
router ospf 100 vrf custA
router-id 172.16.0.1
end"
Enable OSPF 100 under VRF custB with router-id 10.1.1.1.,enable ospf 100 under vrf custb with router-id 10.1.1.1.,"enable
configure terminal
router ospf 100 vrf custB
router-id 10.1.1.1
end"
Enable OSPF 100 under VRF INTERNET with router-id 10.0.1.1.,enable ospf 100 under vrf internet with router-id 10.0.1.1.,"enable
configure terminal
router ospf 100 vrf INTERNET
router-id 10.0.1.1
end"
Enable OSPF 10 under VRF custA with router-id 172.31.0.1.,enable ospf 10 under vrf custa with router-id 172.31.0.1.,"enable
configure terminal
router ospf 10 vrf custA
router-id 172.31.0.1
end"
Enable OSPF 1 under VRF INTERNET with router-id 10.1.1.1.,enable ospf 1 under vrf internet with router-id 10.1.1.1.,"enable
configure terminal
router ospf 1 vrf INTERNET
router-id 10.1.1.1
end"
Enable OSPF process 100 and advertise 10.0.0.0 0.0.255.255 in area 1.,enable ospf process 100 and advertise 10.0.0.0 0.0.255.255 in area 1.,"enable
configure terminal
router ospf 100
network 10.0.0.0 0.0.255.255 area 1
end"
Enable OSPF process 100 and advertise 10.0.0.0 0.255.255.255 in area 10.,enable ospf process 100 and advertise 10.0.0.0 0.255.255.255 in area 10.,"enable
configure terminal
router ospf 100
network 10.0.0.0 0.255.255.255 area 10
end"
Enable OSPF process 100 and advertise 10.0.0.0 0.255.255.255 in area 100.,enable ospf process 100 and advertise 10.0.0.0 0.255.255.255 in area 100.,"enable
configure terminal
router ospf 100
network 10.0.0.0 0.255.255.255 area 100
end"
Enable OSPF process 100 and advertise 10.1.0.0 0.0.255.255 in area 10.,enable ospf process 100 and advertise 10.1.0.0 0.0.255.255 in area 10.,"enable
configure terminal
router ospf 100
network 10.1.0.0 0.0.255.255 area 10
end"
Enable OSPF process 100 and advertise 10.1.0.0 0.255.255.255 in area 0.,enable ospf process 100 and advertise 10.1.0.0 0.255.255.255 in area 0.,"enable
configure terminal
router ospf 100
network 10.1.0.0 0.255.255.255 area 0
end"
Enable OSPF process 100 and advertise 172.16.0.0 0.0.0.255 in area 1.,enable ospf process 100 and advertise 172.16.0.0 0.0.0.255 in area 1.,"enable
configure terminal
router ospf 100
network 172.16.0.0 0.0.0.255 area 1
end"
Enable OSPF process 100 and advertise 172.16.0.0 0.0.255.255 in area 100.,enable ospf process 100 and advertise 172.16.0.0 0.0.255.255 in area 100.,"enable
configure terminal
router ospf 100
network 172.16.0.0 0.0.255.255 area 100
end"
Enable OSPF process 100 and advertise 192.168.10.0 0.0.255.255 in area 1.,enable ospf process 100 and advertise 192.168.10.0 0.0.255.255 in area 1.,"enable
configure terminal
router ospf 100
network 192.168.10.0 0.0.255.255 area 1
end"
Enable OSPF process 100 and advertise 192.168.10.0 0.0.255.255 in area 10.,enable ospf process 100 and advertise 192.168.10.0 0.0.255.255 in area 10.,"enable
configure terminal
router ospf 100
network 192.168.10.0 0.0.255.255 area 10
end"
Enable OSPF process 100 and advertise 192.168.10.0 0.0.255.255 in area 100.,enable ospf process 100 and advertise 192.168.10.0 0.0.255.255 in area 100.,"enable
configure terminal
router ospf 100
network 192.168.10.0 0.0.255.255 area 100
end"
Enable OSPF process 100 and advertise 192.168.10.0 0.255.255.255 in area 10.,enable ospf process 100 and advertise 192.168.10.0 0.255.255.255 in area 10.,"enable
configure terminal
router ospf 100
network 192.168.10.0 0.255.255.255 area 10
end"
Enable OSPF process 10 and advertise 10.0.0.0 0.0.0.255 in area 1.,enable ospf process 10 and advertise 10.0.0.0 0.0.0.255 in area 1.,"enable
configure terminal
router ospf 10
network 10.0.0.0 0.0.0.255 area 1
end"
Enable OSPF process 10 and advertise 10.0.0.0 0.0.0.255 in area 10.,enable ospf process 10 and advertise 10.0.0.0 0.0.0.255 in area 10.,"enable
configure terminal
router ospf 10
network 10.0.0.0 0.0.0.255 area 10
end"
Enable OSPF process 10 and advertise 10.0.0.0 0.0.255.255 in area 1.,enable ospf process 10 and advertise 10.0.0.0 0.0.255.255 in area 1.,"enable
configure terminal
router ospf 10
network 10.0.0.0 0.0.255.255 area 1
end"
Enable OSPF process 10 and advertise 10.0.0.0 0.255.255.255 in area 0.,enable ospf process 10 and advertise 10.0.0.0 0.255.255.255 in area 0.,"enable
configure terminal
router ospf 10
network 10.0.0.0 0.255.255.255 area 0
end"
Enable OSPF process 10 and advertise 10.0.0.0 0.255.255.255 in area 100.,enable ospf process 10 and advertise 10.0.0.0 0.255.255.255 in area 100.,"enable
configure terminal
router ospf 10
network 10.0.0.0 0.255.255.255 area 100
end"
Enable OSPF process 10 and advertise 10.1.0.0 0.0.0.255 in area 10.,enable ospf process 10 and advertise 10.1.0.0 0.0.0.255 in area 10.,"enable
configure terminal
router ospf 10
network 10.1.0.0 0.0.0.255 area 10
end"
Enable OSPF process 10 and advertise 10.1.0.0 0.0.255.255 in area 0.,enable ospf process 10 and advertise 10.1.0.0 0.0.255.255 in area 0.,"enable
configure terminal
router ospf 10
network 10.1.0.0 0.0.255.255 area 0
end"
Enable OSPF process 10 and advertise 10.1.0.0 0.0.255.255 in area 1.,enable ospf process 10 and advertise 10.1.0.0 0.0.255.255 in area 1.,"enable
configure terminal
router ospf 10
network 10.1.0.0 0.0.255.255 area 1
end"
Enable OSPF process 10 and advertise 10.1.0.0 0.0.255.255 in area 10.,enable ospf process 10 and advertise 10.1.0.0 0.0.255.255 in area 10.,"enable
configure terminal
router ospf 10
network 10.1.0.0 0.0.255.255 area 10
end"
Enable OSPF process 10 and advertise 10.1.0.0 0.255.255.255 in area 1.,enable ospf process 10 and advertise 10.1.0.0 0.255.255.255 in area 1.,"enable
configure terminal
router ospf 10
network 10.1.0.0 0.255.255.255 area 1
end"
Enable OSPF process 10 and advertise 172.16.0.0 0.0.0.255 in area 10.,enable ospf process 10 and advertise 172.16.0.0 0.0.0.255 in area 10.,"enable
configure terminal
router ospf 10
network 172.16.0.0 0.0.0.255 area 10
end"
Enable OSPF process 10 and advertise 172.16.0.0 0.255.255.255 in area 1.,enable ospf process 10 and advertise 172.16.0.0 0.255.255.255 in area 1.,"enable
configure terminal
router ospf 10
network 172.16.0.0 0.255.255.255 area 1
end"
Enable OSPF process 10 and advertise 172.16.0.0 0.255.255.255 in area 100.,enable ospf process 10 and advertise 172.16.0.0 0.255.255.255 in area 100.,"enable
configure terminal
router ospf 10
network 172.16.0.0 0.255.255.255 area 100
end"
Enable OSPF process 10 and advertise 192.168.10.0 0.0.0.255 in area 100.,enable ospf process 10 and advertise 192.168.10.0 0.0.0.255 in area 100.,"enable
configure terminal
router ospf 10
network 192.168.10.0 0.0.0.255 area 100
end"
Enable OSPF process 10 and advertise 192.168.10.0 0.0.255.255 in area 0.,enable ospf process 10 and advertise 192.168.10.0 0.0.255.255 in area 0.,"enable
configure terminal
router ospf 10
network 192.168.10.0 0.0.255.255 area 0
end"
Enable OSPF process 10 and advertise 192.168.10.0 0.255.255.255 in area 1.,enable ospf process 10 and advertise 192.168.10.0 0.255.255.255 in area 1.,"enable
configure terminal
router ospf 10
network 192.168.10.0 0.255.255.255 area 1
end"
Enable OSPF process 10 and advertise 192.168.10.0 0.255.255.255 in area 10.,enable ospf process 10 and advertise 192.168.10.0 0.255.255.255 in area 10.,"enable
configure terminal
router ospf 10
network 192.168.10.0 0.255.255.255 area 10
end"
Enable OSPF process 10 and advertise 192.168.10.0 0.255.255.255 in area 100.,enable ospf process 10 and advertise 192.168.10.0 0.255.255.255 in area 100.,"enable
configure terminal
router ospf 10
network 192.168.10.0 0.255.255.255 area 100
end"
Enable OSPF process 1 and advertise 10.0.0.0 0.0.0.255 in area 0.,enable ospf process 1 and advertise 10.0.0.0 0.0.0.255 in area 0.,"enable
configure terminal
router ospf 1
network 10.0.0.0 0.0.0.255 area 0
end"
Enable OSPF process 1 and advertise 10.0.0.0 0.0.0.255 in area 1.,enable ospf process 1 and advertise 10.0.0.0 0.0.0.255 in area 1.,"enable
configure terminal
router ospf 1
network 10.0.0.0 0.0.0.255 area 1
end"
Enable OSPF process 1 and advertise 10.0.0.0 0.0.255.255 in area 1.,enable ospf process 1 and advertise 10.0.0.0 0.0.255.255 in area 1.,"enable
configure terminal
router ospf 1
network 10.0.0.0 0.0.255.255 area 1
end"
Enable OSPF process 1 and advertise 10.0.0.0 0.0.255.255 in area 10.,enable ospf process 1 and advertise 10.0.0.0 0.0.255.255 in area 10.,"enable
configure terminal
router ospf 1
network 10.0.0.0 0.0.255.255 area 10
end"
Enable OSPF process 1 and advertise 10.0.0.0 0.255.255.255 in area 0.,enable ospf process 1 and advertise 10.0.0.0 0.255.255.255 in area 0.,"enable
configure terminal
router ospf 1
network 10.0.0.0 0.255.255.255 area 0
end"
Enable OSPF process 1 and advertise 10.1.0.0 0.0.255.255 in area 10.,enable ospf process 1 and advertise 10.1.0.0 0.0.255.255 in area 10.,"enable
configure terminal
router ospf 1
network 10.1.0.0 0.0.255.255 area 10
end"
Enable OSPF process 1 and advertise 10.1.0.0 0.0.255.255 in area 100.,enable ospf process 1 and advertise 10.1.0.0 0.0.255.255 in area 100.,"enable
configure terminal
router ospf 1
network 10.1.0.0 0.0.255.255 area 100
end"
Enable OSPF process 1 and advertise 10.1.0.0 0.255.255.255 in area 0.,enable ospf process 1 and advertise 10.1.0.0 0.255.255.255 in area 0.,"enable
configure terminal
router ospf 1
network 10.1.0.0 0.255.255.255 area 0
end"
